"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GFC_TREE_COVER","GFC_FOREST_GAIN","GFC_FOREST_LOSS","GFC_FOREST_LOSS_YEAR","GFC_DATA_MASK","class"
"331","7.61060182497928","-5.92228546060469","279","0.0164415358656551","0.191321436316932","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"439","7.45107818317954","-6.2605949526062","275","0.00512158710251583","5.72379014774373","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"912","7.70447117882742","-6.02483637317611","278","0.0129558973668613","3.80929306786918","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"803","7.49936935365633","-6.39543041172789","253","0.00415768557193952","4.90942610188732","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"433","7.57289130421369","-6.31268430502343","298","0.0131862070754157","4.85691065910655","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"340","7.53192519892158","-5.38999739059108","229","0.00672102966578826","3.92796191950765","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"613","7.3745719468062","-6.08967676498715","213","0.00895301860015743","0","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"478","7.59920727913644","-5.92120026576266","289","0.0108348543632065","3.5274807335069","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"232","7.68927845103697","-5.75896363687982","255","0.0115514614570755","3.36713421915366","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"277","7.10734271692059","-5.4160420667997","227","0.00643892089900475","4.10730745579543","Lacs","Côte d'Ivoire",0,0,0,0,0,100
"788","7.68032559358902","-6.15397455937717","230","0.0164811125256813","2.61430052530886","Woroba","Côte d'Ivoire",0,0,0,0,0,100
"561","7.58835533071469","-5.72071051869841","205","0.00902519864475608","1.89192420964018","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"286","7.48797480781349","-6.08642118046107","212","0.0148101951362131","0.147346251987905","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"497","7.70637026980123","-6.34279846188964","292","0.00931981530978174","0.931336654243919","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"926","7.70040169816926","-6.02185208736054","278","0.0129558973668613","3.80929306786918","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"35","7.22779934440202","-5.42173933972033","241","0.00748321679565414","0.391052297975069","Lacs","Côte d'Ivoire",0,0,0,0,0,100
"806","7.65048273542921","-5.40301972869539","261","0.00121550877234802","4.24963396452573","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"312","7.36887467388478","-5.96976273494331","257","0.0074137714585839","4.95255773482779","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"598","7.57397649905587","-5.99987689180952","248","0.00288061578935714","0.78641745887058","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"12","7.55173000479128","-5.4119725861421","224","0.00661855464125665","4.37827222163887","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"359","7.50642312013047","-5.76574610464248","219","0.0178716513285908","2.39823983819172","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"360","7.59595169460991","-5.99200922920484","229","0.00811268284806493","4.56132578396058","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"758","7.48037844391827","-5.90329455086924","285","0.00926488056633631","5.60068530388838","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"13","7.50506662657775","-6.33818638381103","305","0.00846130235978772","6.07282726978969","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"464","7.60924533142656","-6.28528313526228","269","0.00622214205941077","0.941411437695883","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"768","7.15292090029194","-5.54111077234316","207","0.0177905779361711","0.501635839919325","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"3","7.55254390092291","-6.02917715254422","235","0.0121126533572112","5.44920867390209","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"668","7.57451909647696","-5.73970142843386","223","0.0106822275539702","2.66575228186109","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"769","7.66730325548292","-6.16753949490249","222","0.0156251747882721","3.74270219344422","Woroba","Côte d'Ivoire",0,0,0,0,0,100
"629","7.56041156352868","-5.47979726376871","254","0.00517541692957102","1.80894232873668","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"717","6.92855686667225","-5.48196765345276","185","0.0132662027082124","4.17574799828358","Yamoussoukro","Côte d'Ivoire",0,0,0,0,0,100
"604","7.48716091168186","-6.31512599341799","295","0.00293633685615456","3.73044772472135","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"789","7.53925026410627","-5.41712726164172","212","0.00458480085197589","4.50376382918064","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"785","7.38352480425414","-6.37833859296599","265","0.00873968119972091","4.50921603696052","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"44","7.01401596049353","-5.89813987536961","215","0.00970842408541596","3.26777955468598","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"495","7.5661088364501","-5.99852039825699","240","0.010396634950908","2.42913476312263","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"80","7.56638013516064","-5.38728440348602","238","0.00767398936560199","2.99941262672612","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"916","7.28341558006349","-5.46053505532275","213","0.0139948524860386","2.85625906994743","Lacs","Côte d'Ivoire",0,0,0,0,0,100
"381","7.52514273115799","-5.87969156305518","303","0.00422468569770436","2.35522338767193","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"751","7.58374325263544","-6.20823430147846","248","0.0115928214394878","2.69283909595207","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"595","6.9741350500436","-5.41251518356311","223","0.00964021815485066","0.241728934207457","Yamoussoukro","Côte d'Ivoire",0,0,0,0,0,100
"314","7.63610390377039","-5.88267584887075","305","0.00826904267609382","1.40600305279827","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"620","7.43398636441528","-5.41658466422071","215","0.00852453696069399","2.49088760525656","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"921","7.32628077632941","-5.98793974854724","241","0.0123892194572048","2.63812126740379","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"767","7.71369533498591","-6.16889598845503","292","0.0204372559751434","3.67165648497991","Woroba","Côte d'Ivoire",0,0,0,0,0,100
"190","7.63637520248093","-6.29423599270899","285","0.0124342576559017","3.26214979021421","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"642","7.47847935294446","-5.4372033662192","204","0.00912953615309337","4.96775060063189","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"477","7.60436195463677","-6.0286345551232","212","0.00454882506394012","2.83810481587237","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"517","7.4725107813125","-5.90329455086924","291","0.00911573256806474","4.89192451148129","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"323","7.5506448099491","-5.82081974287528","242","0.00666876550502514","2.15223097629017","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"714","7.52866961439506","-6.07665442688284","202","0.00176874870284282","0.0769205555471655","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"681","7.65400961866628","-6.09645923274981","237","0.0112849063702891","4.70036823998811","Woroba","Côte d'Ivoire",0,0,0,0,0,100
"284","7.63935948829692","-5.87019610818745","290","0.00640266744811448","1.63440032114577","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"295","6.99990842754526","-6.23644936737113","252","0.00924721470330821","4.77110050524965","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"457","7.51754636726277","-5.95104312391837","284","0.00307884130251679","3.99036352654237","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"332","7.64044468313909","-6.27226079715797","278","0.0180220818623931","1.97291716738497","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"852","7.59757948687318","-5.96596455299622","250","0.0129430798324627","5.17988737332024","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"753","7.66676065806184","-5.90736403152683","284","0.0108157655837557","5.93690497663394","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"404","7.40902688304526","-5.40274842998488","194","0.00673045093144797","5.55403570562075","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"142","7.71125364659101","-6.16428391037642","305","0.0271379217974404","2.96535368412531","Woroba","Côte d'Ivoire",0,0,0,0,0,100
"254","7.47332467744413","-5.39623726093273","220","0.00176965170530108","5.7156367818367","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"466","7.70799806206449","-5.43123479458806","284","0.0067342727660847","2.29794619324554","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"374","7.54223454992225","-6.31729638310204","304","0.0138713546709076","5.5799515280873","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"292","7.23810869540269","-5.97654520270597","213","0.00710556888835614","5.47012637096672","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"773","7.49801286010361","-5.89705468052759","297","0.0107305830627406","3.74801065034952","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"892","7.0435875199428","-5.9648793581542","194","0.00624963873125307","5.31203686822989","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"186","7.72319078985494","-5.52320505744973","244","0.0112060803316963","0.12163953094323","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
